"Name","Glycan Structure"
"G00054MO","alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->4)[alpha-L-Fucp-(1->3)]-beta-D-GlcpNAc-(1->"
"G00055MO","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->"
"G00056HH","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)[beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)]-alpha-D-Manp-(1->?)[beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->?)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[?-L-Fucp-(1->?)]-?-D-GlcpNAc-(1->"
"G00056MO","beta-D-Galp-(1->3)-beta-D-GlcpNAc-(1->"
"G00057MO","beta-D-GalpNAc-(1->4)-beta-D-GlcpNAc-(1->"
"G00058MO","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->"
"G00059MO","alpha-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-Glcp-(1->"
"G00060BT","alpha-D-Manp-(1->3)[alpha-D-Manp-(1->3)-beta-D-Manp-(1->6)]-beta-D-Manp-(1->4)-?-D-GlcNAc-(?->"
"G00060MO","alpha-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-GalpNAc-(1->3)-beta-D-Galp-(1->4)-beta-D-Glcp-(1->"
"G00061MO","beta-D-GalpNAc-(1->3)-alpha-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-Glcp-(1->"
"G00062MO","alpha-D-NeupAc-(2->3)[beta-D-GalpNAc-(1->4)]-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->"
"G00063MO","alpha-D-NeupAc-(2->3)[beta-D-GalpNAc-(1->4)]-beta-D-Galp-(1->3)[alpha-D-NeupAc-(2->6)]-beta-D-GalpNAc-(1->"
"G00064MO","alpha-D-GlcpNAc-(1->3)-beta-D-GalpNAc-(1->3)-alpha-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-Glcp-(1->"
"G00065MO","alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->"
"G00066MO","alpha-D-GalpNAc-(1->3)[alpha-L-Fucp-(1->2)]-beta-D-Galp-(1->"
"G00067MO","beta-D-Galp-(1->3)[alpha-L-Fucp-(1->2)]-beta-D-Galp-(1->"
"G00068MO","alpha-L-Fucp-(1->2)-beta-D-Galp-(1->"
"G00069MO","beta-D-Galp-(1->3)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-?-D-Glc-(?->"
"G00070MO","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-?-D-Glc-(?->"
"G00071MO","beta-D-Galp-(1->3)-beta-D-GalpNAc-(1->4)-beta-D-Galp-(1->4)-?-D-Glc-(?->"
"G00072MO","beta-D-GalpNAc-(1->3)-beta-D-Galp-(1->4)-beta-D-Galp-(1->4)-?-D-Glc-(?->"
"G00076PK","alpha-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->"
"G00089VH","alpha-D-NeupAc-(2->6)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-beta-D-Manp-(1->3)[alpha-D-NeupAc-(2->6)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-beta-D-Manp-(1->6)]-alpha-D-Manp-(1->4)-?-D-GlcNAc-(?->"
"G00090SL","alpha-D-Manp-(1->6)-?-D-Man-(?->"
"G00091RT","alpha-D-Manp-(1->2)-alpha-D-Manp-(1->3)[alpha-D-Manp-(1->2)-alpha-D-Manp-(1->6)]-alpha-D-Manp-(1->"
"G00094SE","alpha-D-Galp-(1->3)-alpha-D-GalpNAc-(1->3)[alpha-L-Fucp-(1->2)]-beta-D-Galp-(1->3)[beta-D-GlcpNAc-(1->3)-beta-D-GlcpNAc-(1->6)]-alpha-D-GalpNAc-(1->"
"G00106LE","?-D-NeupAc-(2->?)-?-D-Galp6S-(1->?)[?-L-Fucp-(1->?)]-?-D-GlcNAc-(?->"
"G00112IO","alpha-D-GalpNAc-(1->3)-beta-D-Galp-(1->3)-beta-D-GlcpNAc-(1->3)[beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)]-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-?-D-GalNAc-(?->"
"G00120QS","alpha-D-Manp-(1->6)-?-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc-(1->"
"G00123JF","beta-D-Xylf-(1->"
"G00133UK","alpha-D-NeupGc-(2->3)[beta-D-Galp-(1->4)]-alpha-D-Galp-(1->"
"G00140XB","alpha-D-Galp-(1->3)-?-D-Manp-(1->"
"G00140YZ","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3/6)[alpha-L-Fucp-(1->2)-beta-D-Galp-(1->3/6)]-?-D-GalNAc-(?->"
"G00141ZD","alpha-D-Glcp-(1->4)[alpha-D-Galp-(1->6)]-?-D-Glc-(?->"
"G00152LK","beta-D-Glcp-(1->3)-beta-D-Glcp-(1->3)-beta-D-Glcp-(1->3)-alpha-D-Glcp-(1->3)-beta-D-Glcp-(1->3)-beta-D-Glcp-(1->"
"G00153LJ","beta-D-Galp-(1->2)-beta-D-Galp-(1->2)-beta-D-Galp-(1->"
"G00157WT","alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->3)[alpha-L-Fucp-(1->4)]-beta-D-GlcpNAc-(1->3)[beta-D-Galp-(1->3)[alpha-L-Fucp-(1->4)]-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)]-beta-D-Galp-(1->4)-beta-D-Glcp-(1->"
"G00167VE","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)[beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)]-alpha-D-Manp-(1->3/6)[beta-D-GalpNAc-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->3/6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-?-D-GlcpNAc-(1->"
"G00175GT","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)[beta-D-GlcpNAc-(1->6)]-?-D-Galp-(1->"
"G00176HZ","beta-D-GlcpNAc-(1->2)[beta-D-GlcpNAc-(1->4)]-alpha-D-Manp-(1->3)[beta-D-GlcpNAc-(1->2)[beta-D-GlcpNAc-(1->6)]-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-beta-D-GlcpNAc-(1->"
"G00186OS","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->3)[alpha-D-Galp-(1->?)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-beta-D-GlcpNAc-(1->"
"G00194ZL","beta-D-GlcpA3S-(1->4)-?-D-Xylp-(1->"
"G00199JR","alpha-D-Manp-(1->3)[alpha-D-Manp-(1->3)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-alpha-D-GlcpNAc-(1->"
"G00207YQ","?-D-Galp-(1->?)-?-D-GlcpNAc-(1->?)[?-D-GlcpNAc-(1->?)]-?-D-Manp-(1->?)[?-D-Manp-(1->?)[?-D-Manp-(1->?)]-?-D-Manp-(1->?)]-?-D-Manp-(1->?)-?-D-GlcpNAc-(1->?)-?-D-GlcpNAc-(1->"
"G00211WY","beta-D-Galp-(1->4)-beta-D-Galp-(1->4)[alpha-L-Fucp-(1->3)]-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->?)[alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->?)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc-(1->"
"G00212ZT","alpha-D-Manp-(1->2)-alpha-D-Manp-(1->2)-alpha-D-Manp-(1->3)[alpha-D-Manp-(1->3)[alpha-D-Manp-(1->6)]-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-?-D-GlcNAc-(?->"
"G00219DO","beta-D-GalpNAc-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->3/6)[beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->3/6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-?-D-GlcpNAc-(1->"
"G00219VH","?-D-GlcpNAc-(1->3)-alpha-D-GalpNAc-(1->"
"G00227RN","alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)[alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->?)]-alpha-D-Manp-(1->]"
"G00230CO","beta-D-GalpNAc4S-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->3)[beta-D-GalpNAc4S-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->3/6)]-?-D-GlcpNAc-(1->"
"G00230IL","?-L-Fucp-(1->?)-?-D-Galp-(1->?)[?-L-Fucp-(1->?)]-?-D-GlcpNAc-(1->?)[?-L-Fucp-(1->?)]-?-D-Galp-(1->?)-?-D-GlcpNAc-(1->?)[?-L-Fucp-(1->?)-?-D-Galp-(1->?)]-?-D-GalNAc-(?->"
