Name,Glycan Structure
G00631XZ,G00631XZ
G00633GI,G00633GI
G00633PX,G00633PX
G00641XC,G00641XC
G00644ZZ,G00644ZZ
G00646SN,G00646SN
G00647RA,G00647RA
G00650AC,G00650AC
G00653TI,G00653TI
G00657YY,G00657YY
G00659GQ,G00659GQ
G00662IB,G00662IB
G00662UH,G00662UH
G00665JQ,G00665JQ
G00666EC,G00666EC
G00667RI,G00667RI
G00670OT,G00670OT
G00672PE,G00672PE
G00673KJ,G00673KJ
G00674TY,G00674TY
G00675GF,G00675GF
G00682IE,G00682IE
G00688TE,G00688TE
G00688XN,G00688XN
G00691LW,G00691LW
G00691NS,G00691NS
G00692HC,G00692HC
G00695FC,G00695FC
G00695JO,G00695JO
G00702NP,G00702NP
G00705GA,G00705GA
G00705XW,G00705XW
G00706AL,G00706AL
G00706QN,G00706QN
G00709CF,G00709CF
G00709ZM,G00709ZM
G00711NG,G00711NG
G00711QT,G00711QT
G00717KJ,G00717KJ
G00727XI,G00727XI
G00728IS,G00728IS
G00728SN,G00728SN
G00729SA,G00729SA
G00736XN,G00736XN
G00736YF,G00736YF
G00738BQ,G00738BQ
G00741NZ,G00741NZ
G00743WU,G00743WU
G00745GK,G00745GK
G00747UC,G00747UC
G00754TS,G00754TS
G00760ZJ,G00760ZJ
G00761OX,G00761OX
G00761TV,G00761TV
G00763JM,G00763JM
G00774OZ,G00774OZ
G00774WE,G00774WE
G00776MW,G00776MW
G00783PW,G00783PW
G00784PW,G00784PW
G00794UV,G00794UV
G00797ZX,G00797ZX
G00798PL,G00798PL
G00800WJ,G00800WJ
G00803PJ,G00803PJ
G00805TZ,G00805TZ
G00814BW,G00814BW
G00824LK,G00824LK
G00826SV,G00826SV
G00828QE,G00828QE
G00830CM,G00830CM
G00839XF,G00839XF
G00841YH,G00841YH
G00842OY,G00842OY
G00845KS,G00845KS
G00850LT,G00850LT
G00851XQ,G00851XQ
G00852WL,G00852WL
G00852XI,G00852XI
G00862WE,G00862WE
G00864TV,G00864TV
G00866EV,G00866EV
G00868ZN,G00868ZN
G00868ZT,G00868ZT
G00875VP,G00875VP
G00876GU,G00876GU
G00883DO,G00883DO
G00883ZT,G00883ZT
G00887EN,G00887EN
G00888JR,G00888JR
G00891GP,G00891GP
G00891MP,G00891MP
G00893FE,G00893FE
G00895OR,G00895OR
G00897BY,G00897BY
G00899CT,G00899CT
G00900AZ,G00900AZ
G00901NZ,G00901NZ
G00903RX,G00903RX
G00909GK,G00909GK
G00909PI,G00909PI
G00910WD,G00910WD
G00912UN,G00912UN
G00915DI,G00915DI
G00917AF,G00917AF
G00923KH,G00923KH
G00924FH,G00924FH
G00925PQ,G00925PQ
G00926LC,G00926LC
G00927ER,G00927ER
G00936LV,G00936LV
G00936NZ,G00936NZ
G00940RO,G00940RO
G00944OL,G00944OL
G00945TF,G00945TF
G00950FJ,G00950FJ
G00951UF,G00951UF
G00955WX,G00955WX
G00966RI,G00966RI
G00969CV,G00969CV
G00970CP,G00970CP
G00972DY,G00972DY
G00975ZH,G00975ZH
G00977CB,G00977CB
G00978GW,G00978GW
G00978TF,G00978TF
G00979XR,G00979XR
G00982CE,G00982CE
G00982QD,G00982QD
G00983HB,G00983HB
G00986YT,G00986YT
G00987AB,G00987AB
G00992PS,G00992PS
G00994CC,G00994CC
G00995HW,G00995HW
G00996DG,G00996DG
G00996YC,G00996YC
G00997UP,G00997UP
G00998NI,G00998NI
G01001RL,G01001RL
G01010HI,G01010HI
G01010HW,G01010HW
G01028CW,G01028CW
G01028FJ,G01028FJ
G01028VL,G01028VL
G01031EZ,G01031EZ
G01034MJ,G01034MJ
G01040ZV,G01040ZV
G01044ZK,G01044ZK
G01046SL,G01046SL
G01047YJ,G01047YJ
G01055WR,G01055WR
G01056RH,G01056RH
G01069AK,G01069AK
G01069CZ,G01069CZ
G01077MO,G01077MO
G01079BO,G01079BO
G01079KY,G01079KY
G01087FD,G01087FD
G01100DE,G01100DE
G01103GR,G01103GR
G01107YB,G01107YB
G01115VC,G01115VC
G01120GS,G01120GS
G01128ZO,G01128ZO
G01130QM,G01130QM
G01131OO,G01131OO
G01132FQ,G01132FQ
G01132PT,G01132PT
G01134UQ,G01134UQ
G01139KZ,G01139KZ
G01141WK,G01141WK
G01148IL,G01148IL
G01155JM,G01155JM
G01160VV,G01160VV
G01169EW,G01169EW
G01169IB,G01169IB
G01174QS,G01174QS
G01178HS,G01178HS
G01179OJ,G01179OJ
G01180DW,G01180DW
G01180ZJ,G01180ZJ
G01181WH,G01181WH
G01182BO,G01182BO
G01187XC,G01187XC
G01188EJ,G01188EJ
G01190ZZ,G01190ZZ
G01194JA,G01194JA
G01196CV,G01196CV
G01197SX,G01197SX
G01200BW,G01200BW
G01202UA,G01202UA
G01203BZ,G01203BZ
G01208GZ,G01208GZ
G01216WS,G01216WS
G01220PX,G01220PX
G01221DA,G01221DA
G01223AA,G01223AA
G01223IC,G01223IC
G01231VF,G01231VF
G01232PN,G01232PN
G01233BF,G01233BF
G01237HZ,G01237HZ
G01243KR,G01243KR
G01244DB,G01244DB
G01245TU,G01245TU
G01254YI,G01254YI
G01257PC,G01257PC
G01260KO,G01260KO
G01260KW,G01260KW
G01260QV,G01260QV
G01260RY,G01260RY
G01265XZ,G01265XZ
G01268DU,G01268DU
G01269WV,G01269WV
G01281PQ,G01281PQ
G01282UD,G01282UD
G01283PJ,G01283PJ
G01291IM,G01291IM
G01291QB,G01291QB
G01294HQ,G01294HQ
G01296LJ,G01296LJ
G01298WH,G01298WH
G01299ER,G01299ER
G01300OI,G01300OI
G01302LF,G01302LF
G01302YQ,G01302YQ
G01303GF,G01303GF
G01304XG,G01304XG
G01304ZB,G01304ZB
G01308XT,G01308XT
G01310VF,G01310VF
G01316HN,G01316HN
G01323LL,G01323LL
G01325OU,G01325OU
G01329EH,G01329EH
G01338AS,G01338AS
G01338CS,G01338CS
G01339HS,G01339HS
G01342FO,G01342FO
G01347XI,G01347XI
G01351CD,G01351CD
G01351UQ,G01351UQ
G01354KL,G01354KL
